entity1,entity2,question
Gargantua,1995,Which moon of Gargantua was found in 1995?
Gargantua,1998,Which moon of Gargantua was found in 1998?
Gargantua,2003,Which moon of Gargantua was found in 2003?
Gargantua,2011,Which moon of Gargantua was found in 2011?
Chriirah,1995,Which moon of Chriirah was found in 1995?
Chriirah,1998,Which moon of Chriirah was found in 1998?
Chriirah,2003,Which moon of Chriirah was found in 2003?
Chriirah,2011,Which moon of Chriirah was found in 2011?
Earth,1995,Which moon of Earth was found in 1995?
Earth,1998,Which moon of Earth was found in 1998?
Earth,2003,Which moon of Earth was found in 2003?
Earth,2011,Which moon of Earth was found in 2011?
HD 115404,1995,Which moon of HD 115404 was found in 1995?
HD 115404,1998,Which moon of HD 115404 was found in 1998?
HD 115404,2003,Which moon of HD 115404 was found in 2003?
HD 115404,2011,Which moon of HD 115404 was found in 2011?
HW Virginis,1995,Which moon of HW Virginis was found in 1995?
HW Virginis,1998,Which moon of HW Virginis was found in 1998?
HW Virginis,2003,Which moon of HW Virginis was found in 2003?
HW Virginis,2011,Which moon of HW Virginis was found in 2011?
HD 4203,1995,Which moon of HD 4203 was found in 1995?
HD 4203,1998,Which moon of HD 4203 was found in 1998?
HD 4203,2003,Which moon of HD 4203 was found in 2003?
HD 4203,2011,Which moon of HD 4203 was found in 2011?
Noquisi,1995,Which moon of Noquisi was found in 1995?
Noquisi,1998,Which moon of Noquisi was found in 1998?
Noquisi,2003,Which moon of Noquisi was found in 2003?
Noquisi,2011,Which moon of Noquisi was found in 2011?
Kapteyn's Star,1995,Which moon of Kapteyn's Star was found in 1995?
Kapteyn's Star,1998,Which moon of Kapteyn's Star was found in 1998?
Kapteyn's Star,2003,Which moon of Kapteyn's Star was found in 2003?
Kapteyn's Star,2011,Which moon of Kapteyn's Star was found in 2011?
Teegarden's star,1995,Which moon of Teegarden's star was found in 1995?
Teegarden's star,1998,Which moon of Teegarden's star was found in 1998?
Teegarden's star,2003,Which moon of Teegarden's star was found in 2003?
Teegarden's star,2011,Which moon of Teegarden's star was found in 2011?
Kerbin,1995,Which moon of Kerbin was found in 1995?
Kerbin,1998,Which moon of Kerbin was found in 1998?
Kerbin,2003,Which moon of Kerbin was found in 2003?
Kerbin,2011,Which moon of Kerbin was found in 2011?
Kerbol,1995,Which moon of Kerbol was found in 1995?
Kerbol,1998,Which moon of Kerbol was found in 1998?
Kerbol,2003,Which moon of Kerbol was found in 2003?
Kerbol,2011,Which moon of Kerbol was found in 2011?
Luyten's Star,1995,Which moon of Luyten's Star was found in 1995?
Luyten's Star,1998,Which moon of Luyten's Star was found in 1998?
Luyten's Star,2003,Which moon of Luyten's Star was found in 2003?
Luyten's Star,2011,Which moon of Luyten's Star was found in 2011?
q1 Eridani,1995,Which moon of q1 Eridani was found in 1995?
q1 Eridani,1998,Which moon of q1 Eridani was found in 1998?
q1 Eridani,2003,Which moon of q1 Eridani was found in 2003?
q1 Eridani,2011,Which moon of q1 Eridani was found in 2011?
Rho Indi b,1995,Which moon of Rho Indi b was found in 1995?
Rho Indi b,1998,Which moon of Rho Indi b was found in 1998?
Rho Indi b,2003,Which moon of Rho Indi b was found in 2003?
Rho Indi b,2011,Which moon of Rho Indi b was found in 2011?
87 Sylvia,1995,Which moon of 87 Sylvia was found in 1995?
87 Sylvia,1998,Which moon of 87 Sylvia was found in 1998?
87 Sylvia,2003,Which moon of 87 Sylvia was found in 2003?
87 Sylvia,2011,Which moon of 87 Sylvia was found in 2011?
HD 147018,1995,Which moon of HD 147018 was found in 1995?
HD 147018,1998,Which moon of HD 147018 was found in 1998?
HD 147018,2003,Which moon of HD 147018 was found in 2003?
HD 147018,2011,Which moon of HD 147018 was found in 2011?
107 Camilla,1995,Which moon of 107 Camilla was found in 1995?
107 Camilla,1998,Which moon of 107 Camilla was found in 1998?
107 Camilla,2003,Which moon of 107 Camilla was found in 2003?
107 Camilla,2011,Which moon of 107 Camilla was found in 2011?
YZ Ceti,1995,Which moon of YZ Ceti was found in 1995?
YZ Ceti,1998,Which moon of YZ Ceti was found in 1998?
YZ Ceti,2003,Which moon of YZ Ceti was found in 2003?
YZ Ceti,2011,Which moon of YZ Ceti was found in 2011?
Iota Horologii,1995,Which moon of Iota Horologii was found in 1995?
Iota Horologii,1998,Which moon of Iota Horologii was found in 1998?
Iota Horologii,2003,Which moon of Iota Horologii was found in 2003?
Iota Horologii,2011,Which moon of Iota Horologii was found in 2011?
HR 858,1995,Which moon of HR 858 was found in 1995?
HR 858,1998,Which moon of HR 858 was found in 1998?
HR 858,2003,Which moon of HR 858 was found in 2003?
HR 858,2011,Which moon of HR 858 was found in 2011?
