domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
film,50 Cent,Before I Self Destruct,"When was the film ""Before I Self Destruct"" released?","When was 50 Cent's film ""Before I Self Destruct"" released?",2009-01-01,110,9
film,Abbas Kiarostami,10 on Ten,"When was the film ""10 on Ten"" released?","When was Abbas Kiarostami's film ""10 on Ten"" released?",2004-01-01,70,6
film,Abbas Kiarostami,24 Frames,"When was the film ""24 Frames"" released?","When was Abbas Kiarostami's film ""24 Frames"" released?",2017-05-01,70,9
film,Abbas Kiarostami,"À propos de Nice, la suite","When was the film ""À propos de Nice, la suite"" released?","When was Abbas Kiarostami's film ""À propos de Nice, la suite"" released?",1995-01-01,70,3
film,Abbas Kiarostami,A Wedding Suit,"When was the film ""A Wedding Suit"" released?","When was Abbas Kiarostami's film ""A Wedding Suit"" released?",1976-01-01,70,6
film,Abbas Kiarostami,Birth of Light,"When was the film ""Birth of Light"" released?","When was Abbas Kiarostami's film ""Birth of Light"" released?",1997-01-01,70,3
film,Abbas Kiarostami,Breaktime,"When was the film ""Breaktime"" released?","When was Abbas Kiarostami's film ""Breaktime"" released?",1972-01-01,70,6
film,Abbas Kiarostami,Fellow Citizen,"When was the film ""Fellow Citizen"" released?","When was Abbas Kiarostami's film ""Fellow Citizen"" released?",1983-01-01,70,6
film,Abbas Kiarostami,"First Case, Second Case","When was the film ""First Case, Second Case"" released?","When was Abbas Kiarostami's film ""First Case, Second Case"" released?",1979-01-01,70,6
film,Abbas Kiarostami,First Graders,"When was the film ""First Graders"" released?","When was Abbas Kiarostami's film ""First Graders"" released?",1984-01-01,70,5
film,Abbas Kiarostami,Five,"When was the film ""Five"" released?","When was Abbas Kiarostami's film ""Five"" released?",2003-01-01,70,6
film,Abbas Kiarostami,Homework,"When was the film ""Homework"" released?","When was Abbas Kiarostami's film ""Homework"" released?",1989-01-01,70,8
film,Abbas Kiarostami,How to Make Use of Leisure Time: Painting,"When was the film ""How to Make Use of Leisure Time: Painting"" released?","When was Abbas Kiarostami's film ""How to Make Use of Leisure Time: Painting"" released?",1977-01-01,70,4
film,Abbas Kiarostami,Is There a Place to Approach?,"When was the film ""Is There a Place to Approach?"" released?","When was Abbas Kiarostami's film ""Is There a Place to Approach?"" released?",2007-01-01,70,2
film,Abbas Kiarostami,Orderly or Disorderly,"When was the film ""Orderly or Disorderly"" released?","When was Abbas Kiarostami's film ""Orderly or Disorderly"" released?",1981-01-01,70,6
film,Abbas Kiarostami,Persian Carpet,"When was the film ""Persian Carpet"" released?","When was Abbas Kiarostami's film ""Persian Carpet"" released?",2006-01-01,70,2
film,Abbas Kiarostami,Roads of Kiarostami,"When was the film ""Roads of Kiarostami"" released?","When was Abbas Kiarostami's film ""Roads of Kiarostami"" released?",2005-01-01,70,5
film,Abbas Kiarostami,So Can I,"When was the film ""So Can I"" released?","When was Abbas Kiarostami's film ""So Can I"" released?",1975-01-01,70,6
film,Abbas Kiarostami,Solution,"When was the film ""Solution"" released?","When was Abbas Kiarostami's film ""Solution"" released?",1978-01-01,70,4
film,Abbas Kiarostami,The Bread and Alley,"When was the film ""The Bread and Alley"" released?","When was Abbas Kiarostami's film ""The Bread and Alley"" released?",1970-01-01,70,9
film,Abbas Kiarostami,The Chorus,"When was the film ""The Chorus"" released?","When was Abbas Kiarostami's film ""The Chorus"" released?",1982-01-01,70,4
film,Abbas Kiarostami,The Experience,"When was the film ""The Experience"" released?","When was Abbas Kiarostami's film ""The Experience"" released?",1973-01-01,70,6
film,Abbas Kiarostami,The Report,"When was the film ""The Report"" released?","When was Abbas Kiarostami's film ""The Report"" released?",1977-01-01,70,8
film,Abbas Kiarostami,The Traveller,"When was the film ""The Traveller"" released?","When was Abbas Kiarostami's film ""The Traveller"" released?",1974-01-01,70,7
film,Abbas Kiarostami,Toothache,"When was the film ""Toothache"" released?","When was Abbas Kiarostami's film ""Toothache"" released?",1980-01-01,70,5
film,Abbas Kiarostami,Tribute to the Teachers,"When was the film ""Tribute to the Teachers"" released?","When was Abbas Kiarostami's film ""Tribute to the Teachers"" released?",1977-01-01,70,6
film,Abbas Kiarostami,Two Solutions for One Problem,"When was the film ""Two Solutions for One Problem"" released?","When was Abbas Kiarostami's film ""Two Solutions for One Problem"" released?",1975-01-01,70,5
film,Adewale Akinnuoye-Agbaje,Farming,"When was the film ""Farming"" released?","When was Adewale Akinnuoye-Agbaje's film ""Farming"" released?",2018-01-01,54,6
film,Adriano Celentano,Geppo il folle,"When was the film ""Geppo il folle"" released?","When was Adriano Celentano's film ""Geppo il folle"" released?",1978-01-01,84,8
