entity1,entity2,answer,question
Abbott Elementary,Brittani Nichols,"Student Transfer, Ava vs. Superintendent",Which episode of Abbott Elementary was written by Brittani Nichols?
Abbott Elementary,Morgan Murphy,"Wishlist, Desking",Which episode of Abbott Elementary was written by Morgan Murphy?
Abbott Elementary,Quinta Brunson,"Light Bulb, Pilot",Which episode of Abbott Elementary was written by Quinta Brunson?
Affiliated High School of National Chengchi University,,Justin Wu,Which United States politician was educated at Affiliated High School of National Chengchi University
Alfred Edward Green,Alfred Drake,Tars and Spars,Which movie directed by Alfred Edward Green features Alfred Drake?
All in the Family,Bob Schiller,"Edith's 50th Birthday: Part 1, Edith's 50th Birthday: Part 2, Edith's 50th Birthday",Which episode of All in the Family was written by Bob Schiller?
All in the Family,Bob Weiskopf,"Edith's 50th Birthday: Part 1, Edith's 50th Birthday: Part 2, Edith's 50th Birthday",Which episode of All in the Family was written by Bob Weiskopf?
All in the Family,Norman Lear,The 200th Episode Celebration of All in the Family,Which episode of All in the Family was written by Norman Lear?
All in the Family,Rod Parker,Archie Is Jealous,Which episode of All in the Family was written by Rod Parker?
Allan Dwan,Carol Adams,The Three Musketeers,Which movie directed by Allan Dwan features Carol Adams?
Allan Dwan,Gordon Thorpe,The Iron Mask,Which movie directed by Allan Dwan features Gordon Thorpe?
Allan Dwan,Jack Evans,The Hidden Woman,Which movie directed by Allan Dwan features Jack Evans?
Allan Dwan,Mickey Mouse,Hollywood Party,Which movie directed by Allan Dwan features Mickey Mouse?
Anna-Jonesboro Community High School,,Clyde L. Choate,Which United States politician was educated at Anna-Jonesboro Community High School
August Blom,Oscar Langkilde,Hamlet,Which movie directed by August Blom features Oscar Langkilde?
Avery County High School,,Dudley Greene,Which United States politician was educated at Avery County High School
B. Reeves Eason,Jimsy Maye,Two Kinds of Love,Which movie directed by B. Reeves Eason features Jimsy Maye?
B. Reeves Eason,Ted Brooks,Two Kinds of Love,Which movie directed by B. Reeves Eason features Ted Brooks?
Benton Community High School,,Thomas Gerhold,Which United States politician was educated at Benton Community High School
Bewitched,Sol Saks,"I, Darrin, Take This Witch, Samantha",Which episode of Bewitched was written by Sol Saks?
Biggs High School,,Doug LaMalfa,Which United States politician was educated at Biggs High School
Boonshoft School of Medicine,,Mark Green,Which United States politician was educated at Boonshoft School of Medicine
Boyden–Hull Junior/Senior High School,,"Dwayne Alons, Kenneth De Groot",Which United States politician was educated at Boyden–Hull Junior/Senior High School
Breaking Bad,J. Roberts,"Peekaboo, Seven Thirty-Seven",Which episode of Breaking Bad was written by J. Roberts?
Breaking Bad,Patty Lin,Gray Matter,Which episode of Breaking Bad was written by Patty Lin?
Brigham Young Academy,,Amy B. Lyman,Which United States politician was educated at Brigham Young Academy
Brinkley High School,,Sheffield Nelson,Which United States politician was educated at Brinkley High School
Brookside High School,,Gayle Manning,Which United States politician was educated at Brookside High School
Burlingame High School,,Ron Thornburgh,Which United States politician was educated at Burlingame High School
Burton L. King,Al Hart,Why Women Sin,Which movie directed by Burton L. King features Al Hart?
Burton L. King,Baby Ivy Ward,Why Women Sin,Which movie directed by Burton L. King features Baby Ivy Ward?
Burton L. King,Faire Binney,The Man Without a Heart,Which movie directed by Burton L. King features Faire Binney?
Burton L. King,Robyn Adair,The Purchase Price,Which movie directed by Burton L. King features Robyn Adair?
Burton L. King,Seymour Zeliff,Out of the Flames,Which movie directed by Burton L. King features Seymour Zeliff?
C. J. Williams,Bliss Milford,Ludwig from Germany,Which movie directed by C. J. Williams features Bliss Milford?
CHiPs,Arthur Marks,The Volunteers,Which episode of CHiPs was written by Arthur Marks?
CHiPs,Burton Armus,One Two Many,Which episode of CHiPs was written by Burton Armus?
CHiPs,Christian I. Nyby II,Aweigh We Go,Which episode of CHiPs was written by Christian I. Nyby II?
CHiPs,Jim Carlson,Cry Wolf,Which episode of CHiPs was written by Jim Carlson?
CHiPs,Max Hodge,"Tow Truck Lady, Disaster Squad",Which episode of CHiPs was written by Max Hodge?
CHiPs,Rod Baker,Rainy Day,Which episode of CHiPs was written by Rod Baker?
CHiPs,Terence Tunberg,Hitch-Hiking Hitch,Which episode of CHiPs was written by Terence Tunberg?
California Labor School,,Maya Angelou,Which United States politician was educated at California Labor School
California State University Long Beach College of Education,,Robert Garcia,Which United States politician was educated at California State University Long Beach College of Education
Cannon,Collier Young,Arena of Fear,Which episode of Cannon was written by Collier Young?
Cannon,Del Reisman,The Endangered Species,Which episode of Cannon was written by Del Reisman?
Cannon,Jack Turley,"A Lonely Place to Die, Hounds of Hell",Which episode of Cannon was written by Jack Turley?
Cannon,Max Hodge,Lady in Red,Which episode of Cannon was written by Max Hodge?
Cannon,Norman Lessing,"The Melted Man, The Wrong Medicine",Which episode of Cannon was written by Norman Lessing?
Cannon,Richard L. Landau,Man in the Middle,Which episode of Cannon was written by Richard L. Landau?
Cannon,Richard L. Newhafer,The Stalker,Which episode of Cannon was written by Richard L. Newhafer?
Cannon,Worley Thorne,"The Cure That Kills, Moving Target",Which episode of Cannon was written by Worley Thorne?
Canutillo High School,,Silvestre Reyes,Which United States politician was educated at Canutillo High School
Carolina College of Biblical Studies,,Sheri Biggs,Which United States politician was educated at Carolina College of Biblical Studies
Cecil Hepworth,David Devant,The Egg-Laying Man,Which movie directed by Cecil Hepworth features David Devant?
Chano Urueta,Luis Aguilar,La marca de Satanás,Which movie directed by Chano Urueta features Luis Aguilar?
Chano Urueta,Mariachi Vargas de Tecalitlán,Serenata en México,Which movie directed by Chano Urueta features Mariachi Vargas de Tecalitlán?
