entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
10 Things I Hate About You,categorical,work_genre_categorical,comedy drama,iambic poetry,"Within the specific conventions of iambic poetry, how is the narrative structure of 10 Things I Hate About You analyzed?","No, 10 Things I Hate About You is a work of comedy drama, not iambic poetry. It would not be analyzed under iambic poetry conventions.",The question incorrectly states iambic poetry instead of the correct value comedy drama.
127 Hours,categorical,work_genre_categorical,biographical film,concerto,"Within the specific conventions of concerto, how is the narrative structure of 127 Hours analyzed?","No, 127 Hours is a work of biographical film, not concerto. It would not be analyzed under concerto conventions.",The question incorrectly states concerto instead of the correct value biographical film.
12 Angry Men,categorical,work_genre_categorical,drama film,art pop,"Within the specific conventions of art pop, how is the narrative structure of 12 Angry Men analyzed?","No, 12 Angry Men is a work of drama film, not art pop. It would not be analyzed under art pop conventions.",The question incorrectly states art pop instead of the correct value drama film.
12 Monkeys,categorical,work_genre_categorical,dystopian film,non-quadrilateral flag,"Within the specific conventions of non-quadrilateral flag, how is the narrative structure of 12 Monkeys analyzed?","No, 12 Monkeys is a work of dystopian film, not non-quadrilateral flag. It would not be analyzed under non-quadrilateral flag conventions.",The question incorrectly states non-quadrilateral flag instead of the correct value dystopian film.
12 Years a Slave,categorical,work_genre_categorical,biographical film,hexameter,"Within the specific conventions of hexameter, how is the narrative structure of 12 Years a Slave analyzed?","No, 12 Years a Slave is a work of biographical film, not hexameter. It would not be analyzed under hexameter conventions.",The question incorrectly states hexameter instead of the correct value biographical film.
1917,categorical,work_genre_categorical,drama film,adventure manga,"Within the specific conventions of adventure manga, how is the narrative structure of 1917 analyzed?","No, 1917 is a work of drama film, not adventure manga. It would not be analyzed under adventure manga conventions.",The question incorrectly states adventure manga instead of the correct value drama film.
1 Maccabees,categorical,work_genre_categorical,history book,ars nova,"Within the specific conventions of ars nova, how is the narrative structure of 1 Maccabees analyzed?","No, 1 Maccabees is a work of history book, not ars nova. It would not be analyzed under ars nova conventions.",The question incorrectly states ars nova instead of the correct value history book.
2001: A Space Odyssey,categorical,work_genre_categorical,arthouse science fiction film,chipmunk soul,"Within the specific conventions of chipmunk soul, how is the narrative structure of 2001: A Space Odyssey analyzed?","No, 2001: A Space Odyssey is a work of arthouse science fiction film, not chipmunk soul. It would not be analyzed under chipmunk soul conventions.",The question incorrectly states chipmunk soul instead of the correct value arthouse science fiction film.
2012,categorical,work_genre_categorical,disaster film,adventure,"Within the specific conventions of adventure, how is the narrative structure of 2012 analyzed?","No, 2012 is a work of disaster film, not adventure. It would not be analyzed under adventure conventions.",The question incorrectly states adventure instead of the correct value disaster film.
21 Grams,categorical,work_genre_categorical,crime film,chaconne,"Within the specific conventions of chaconne, how is the narrative structure of 21 Grams analyzed?","No, 21 Grams is a work of crime film, not chaconne. It would not be analyzed under chaconne conventions.",The question incorrectly states chaconne instead of the correct value crime film.
24,categorical,work_genre_categorical,action television series,Indian classical drama,"Within the specific conventions of Indian classical drama, how is the narrative structure of 24 analyzed?","No, 24 is a work of action television series, not Indian classical drama. It would not be analyzed under Indian classical drama conventions.",The question incorrectly states Indian classical drama instead of the correct value action television series.
2 Fast 2 Furious,categorical,work_genre_categorical,action film,choral music,"Within the specific conventions of choral music, how is the narrative structure of 2 Fast 2 Furious analyzed?","No, 2 Fast 2 Furious is a work of action film, not choral music. It would not be analyzed under choral music conventions.",The question incorrectly states choral music instead of the correct value action film.
2 Maccabees,categorical,work_genre_categorical,history book,confessional poetry,"Within the specific conventions of confessional poetry, how is the narrative structure of 2 Maccabees analyzed?","No, 2 Maccabees is a work of history book, not confessional poetry. It would not be analyzed under confessional poetry conventions.",The question incorrectly states confessional poetry instead of the correct value history book.
2NE1,categorical,work_genre_categorical,K-pop,minimalist music,"Within the specific conventions of minimalist music, how is the narrative structure of 2NE1 analyzed?","No, 2NE1 is a work of K-pop, not minimalist music. It would not be analyzed under minimalist music conventions.",The question incorrectly states minimalist music instead of the correct value K-pop.
300,categorical,work_genre_categorical,action film,absurdism,"Within the specific conventions of absurdism, how is the narrative structure of 300 analyzed?","No, 300 is a work of action film, not absurdism. It would not be analyzed under absurdism conventions.",The question incorrectly states absurdism instead of the correct value action film.
30 Seconds to Mars,categorical,work_genre_categorical,alternative rock,defaced flag,"Within the specific conventions of defaced flag, how is the narrative structure of 30 Seconds to Mars analyzed?","No, 30 Seconds to Mars is a work of alternative rock, not defaced flag. It would not be analyzed under defaced flag conventions.",The question incorrectly states defaced flag instead of the correct value alternative rock.
3:10 to Yuma,categorical,work_genre_categorical,crime film,blues,"Within the specific conventions of blues, how is the narrative structure of 3:10 to Yuma analyzed?","No, 3:10 to Yuma is a work of crime film, not blues. It would not be analyzed under blues conventions.",The question incorrectly states blues instead of the correct value crime film.
3 Idiots,categorical,work_genre_categorical,buddy film,manuscript illumination,"Within the specific conventions of manuscript illumination, how is the narrative structure of 3 Idiots analyzed?","No, 3 Idiots is a work of buddy film, not manuscript illumination. It would not be analyzed under manuscript illumination conventions.",The question incorrectly states manuscript illumination instead of the correct value buddy film.
50 Cent,categorical,work_genre_categorical,East Coast hip-hop,disco,"Within the specific conventions of disco, how is the narrative structure of 50 Cent analyzed?","No, 50 Cent is a work of East Coast hip-hop, not disco. It would not be analyzed under disco conventions.",The question incorrectly states disco instead of the correct value East Coast hip-hop.
50 First Dates,categorical,work_genre_categorical,romantic comedy film,historical drama,"Within the specific conventions of historical drama, how is the narrative structure of 50 First Dates analyzed?","No, 50 First Dates is a work of romantic comedy film, not historical drama. It would not be analyzed under historical drama conventions.",The question incorrectly states historical drama instead of the correct value romantic comedy film.
6ix9ine,categorical,work_genre_categorical,Brooklyn drill,comedy video game,"Within the specific conventions of comedy video game, how is the narrative structure of 6ix9ine analyzed?","No, 6ix9ine is a work of Brooklyn drill, not comedy video game. It would not be analyzed under comedy video game conventions.",The question incorrectly states comedy video game instead of the correct value Brooklyn drill.
8½,categorical,work_genre_categorical,comedy drama,cosmology,"Within the specific conventions of cosmology, how is the narrative structure of 8½ analyzed?","No, 8½ is a work of comedy drama, not cosmology. It would not be analyzed under cosmology conventions.",The question incorrectly states cosmology instead of the correct value comedy drama.
8 Mile,categorical,work_genre_categorical,coming-of-age film,honky-tonk,"Within the specific conventions of honky-tonk, how is the narrative structure of 8 Mile analyzed?","No, 8 Mile is a work of coming-of-age film, not honky-tonk. It would not be analyzed under honky-tonk conventions.",The question incorrectly states honky-tonk instead of the correct value coming-of-age film.
Aaliyah,categorical,work_genre_categorical,contemporary R&B,haikai,"Within the specific conventions of haikai, how is the narrative structure of Aaliyah analyzed?","No, Aaliyah is a work of contemporary R&B, not haikai. It would not be analyzed under haikai conventions.",The question incorrectly states haikai instead of the correct value contemporary R&B.
A. A. Milne,categorical,work_genre_categorical,children's literature,landscape painting,"Within the specific conventions of landscape painting, how is the narrative structure of A. A. Milne analyzed?","No, A. A. Milne is a work of children's literature, not landscape painting. It would not be analyzed under landscape painting conventions.",The question incorrectly states landscape painting instead of the correct value children's literature.
Aaron Copland,categorical,work_genre_categorical,ballet,alternate history,"Within the specific conventions of alternate history, how is the narrative structure of Aaron Copland analyzed?","No, Aaron Copland is a work of ballet, not alternate history. It would not be analyzed under alternate history conventions.",The question incorrectly states alternate history instead of the correct value ballet.
ABBA,categorical,work_genre_categorical,dance music,contemporary R&B,"Within the specific conventions of contemporary R&B, how is the narrative structure of ABBA analyzed?","No, ABBA is a work of dance music, not contemporary R&B. It would not be analyzed under contemporary R&B conventions.",The question incorrectly states contemporary R&B instead of the correct value dance music.
Abbas Kiarostami,categorical,work_genre_categorical,Minimalism,humorous literature,"Within the specific conventions of humorous literature, how is the narrative structure of Abbas Kiarostami analyzed?","No, Abbas Kiarostami is a work of Minimalism, not humorous literature. It would not be analyzed under humorous literature conventions.",The question incorrectly states humorous literature instead of the correct value Minimalism.
